paymentGoodputSent:vector PCN.node8 (#0 - General-0-20250701-23:21:41-183642),,paymentGoodputSent:vector PCN.node5 (#0 - General-0-20250701-23:21:41-183642),,paymentGoodputSent:vector PCN.node4 (#0 - General-0-20250701-23:21:41-183642),,paymentGoodputSent:vector PCN.node7 (#0 - General-0-20250701-23:21:41-183642),,paymentGoodputSent:vector PCN.node9 (#0 - General-0-20250701-23:21:41-183642),
587,0,599.5,1,714,1,735.5,0,737,0
618.5,0,695,1,891,1,753,0,737,0
668,0.333333333333329926,745.5,1,1352.5,1,775,0,737,0.333333333333329926
704.5,0.25,844.5,1,1352.5,1,775,0,737,0.5
1019.5,0.40000000000000002,999.5,1,1465,1,809,0,737,0.599999999999999864
1047.5,0.5,999.5,0.833333333333329925,1532,1,953.5,0,868,0.666666666666669846
1077,0.57142857142856984,999.5,0.857142857142859867,1553,1,953.5,0,868,0.714285714285709968
1153,0.625,1042.5,0.875,1553,1,1017.5,0,868,0.75
1227,0.666666666666669846,1042.5,0.888888888888889945,1563,1,1017.5,0.111111111111109994,868,0.777777777777779895
1247.5,0.699999999999999951,1081,0.899999999999999907,1563,1,1017.5,0.20000000000000001,868,0.800000000000000041
1353,0.727272727272729953,1254.5,0.909090909090909833,1589,1,1017.5,0.18181818181817999,868,0.818181818181819894
1353,0.75,1367,0.916666666666669845,1757,1,1017.5,0.25,868,0.833333333333329925
1388,0.769230769230770047,1393.5,0.923076923076920016,1757,1,1042,0.307692307692309928,946.5,0.769230769230770047
1479,0.785714285714290025,1393.5,0.928571428571429931,1757,0.928571428571429931,1042,0.285714285714289915,948,0.785714285714290025
1479,0.800000000000000041,1455,0.933333333333330013,1882,0.933333333333330013,1084,0.266666666666669937,948,0.800000000000000041
1479,0.8125,1455,0.9375,1882,0.9375,1115,0.3125,948,0.8125
1479,0.823529411764709836,1562,0.941176470588239941,1882,0.941176470588239941,1115,0.352941176470589976,962.5,0.76470588235294001
1553,0.833333333333329925,1562,0.944444444444439975,1916,0.944444444444439975,1115,0.388888888888889947,975,0.777777777777779895
1827.5,0.842105263157890023,1562,0.947368421052629856,1916,0.947368421052629856,1115,0.421052631578950007,1148,0.789473684210529875
1871,0.849999999999999863,1562,0.94999999999999995,1916,0.94999999999999995,1244,0.449999999999999953,1148,0.800000000000000041
1918.5,0.857142857142859867,1562,0.952380952380949881,1957,0.952380952380949881,1244,0.476190476190479936,1148,0.809523809523809975
1953,0.863636363636359976,1562,0.954545454545449917,1957,0.954545454545449917,1244,0.5,1175.5,0.772727272727270038
2058,0.869565217391299991,1747,0.956521739130429922,1957,0.956521739130429922,1244,0.521739130434780039,1348,0.782608695652169835
2067,0.875,1747,0.958333333333329925,1957,0.958333333333329925,1244,0.541666666666669847,1348,0.791666666666669845
2084,0.87999999999999989,1832,0.95999999999999996,1963,0.95999999999999996,1244,0.56000000000000005,1436.5,0.800000000000000041
2086,0.884615384615379913,1841,0.961538461538459895,1976,0.961538461538459895,1245,0.576923076923079978,1436.5,0.807692307692309926
2118.5,0.888888888888889945,1857,0.962962962962959906,1981,0.925925925925930035,1249,0.592592592592589893,1585.5,0.814814814814809992
2197,0.892857142857139903,2001,0.964285714285709968,2001,0.928571428571429931,1284,0.607142857142859868,1792.5,0.821428571428569839
2197,0.86206896551723999,2057.5,0.965517241379310048,2019,0.931034482758619882,1284,0.620689655172409923,1866,0.827586206896550043
2227.5,0.866666666666670023,2063.5,0.96666666666666989,2019,0.933333333333330013,1292,0.599999999999999864,1932,0.833333333333329925
2302,0.83870967741934987,2101.5,0.96774193548386988,2082,0.93548387096773999,1416,0.612903225806449956,1964.5,0.83870967741934987
2422,0.84375,2127,0.96875,2082,0.9375,1416,0.625,1993,0.84375
2422,0.848484848484849948,2159,0.969696969696969941,2119,0.909090909090909833,1416,0.636363636363640014,2066,0.848484848484849948
2467,0.852941176470589863,2173,0.970588235294119968,2119,0.882352941176469891,1506.5,0.647058823529409906,2066,0.852941176470589863
2467,0.857142857142859867,2272.5,0.97142857142856997,2282,0.88571428571428989,1631.5,0.657142857142859912,2066,0.857142857142859867
2502,0.861111111111110046,2272.5,0.972222222222219875,2376,0.888888888888889945,1706.5,0.666666666666669846,2114,0.861111111111110046
2502,0.864864864864860023,2301.5,0.972972972972969914,2393,0.891891891891889883,1706.5,0.675675675675679873,2160,0.864864864864860023
2502,0.868421052631579866,2329.5,0.947368421052629856,2415,0.894736842105259939,1706.5,0.684210526315790043,2160,0.868421052631579866
2652,0.871794871794870026,2419,0.948717948717950005,2482,0.897435897435900017,1706.5,0.692307692307689845,2160,0.871794871794870026
2660,0.875,2438,0.94999999999999995,2528,0.899999999999999907,1706.5,0.699999999999999951,2198,0.849999999999999863
2680,0.878048780487799881,2438,0.951219512195119904,2567,0.902439024390240036,1706.5,0.707317073170729888,2266,0.853658536585369938
2728,0.880952380952380038,2438,0.952380952380949881,2567,0.904761904761899988,1706.5,0.714285714285709968,2360.5,0.857142857142859867
2794,0.883720930232559928,2472,0.953488372093019837,2567,0.906976744186049895,1784,0.720930232558139923,2469.5,0.860465116279069959
2794,0.886363636363640013,2472,0.954545454545449917,2611,0.909090909090909833,1784,0.727272727272729953,2486.5,0.863636363636359976
2794,0.888888888888889945,2500,0.955555555555559928,2611,0.911111111111109867,1784,0.733333333333329836,2603.5,0.866666666666670023
2880,0.891304347826090023,2602.5,0.956521739130429922,2743,0.913043478260869841,1784,0.739130434782609975,2612.5,0.869565217391299991
2915,0.893617021276599917,2602.5,0.957446808510640009,2743,0.914893617021280021,1861.5,0.744680851063829859,2761.5,0.872340425531910043
2943,0.895833333333329925,2602.5,0.958333333333329925,2743,0.916666666666669845,1865,0.75,2817.5,0.875
3029,0.897959183673469937,2638,0.959183673469389926,2743,0.918367346938779857,1906.5,0.755102040816330029,2900.5,0.877551020408160017
3029,0.899999999999999907,2638,0.95999999999999996,2757,0.919999999999999923,1906.5,0.760000000000000006,2900.5,0.87999999999999989
3029,0.901960784313729831,2638,0.960784313725489887,2776,0.92156862745098,1950,0.76470588235294001,2961.5,0.882352941176469891
3080,0.903846153846149964,2654,0.961538461538459895,2776,0.923076923076920016,1957,0.75,2961.5,0.884615384615379913
3161,0.905660377358489914,2654,0.962264150943400005,2804,0.924528301886790023,1957,0.754716981132079963,2961.5,0.886792452830190032
3161,0.907407407407409878,2781,0.962962962962959906,2815,0.925925925925930035,1957,0.759259259259259963,3036,0.888888888888889945
3229,0.890909090909089978,2781,0.963636363636359845,2815,0.927272727272729907,2011,0.76363636363635989,3100.5,0.890909090909089978
3229,0.892857142857139903,2838,0.964285714285709968,2837,0.928571428571429931,2019,0.767857142857139903,3196.5,0.892857142857139903
3252,0.894736842105259939,2838,0.964912280701749831,2837,0.929824561403509881,2060,0.754385964912279935,3300.5,0.894736842105259939
3252,0.896551724137929935,2892,0.965517241379310048,2962,0.931034482758619882,2060,0.758620689655169929,3300.5,0.896551724137929935
3276,0.89830508474575987,2892,0.966101694915249883,2962,0.932203389830509982,2060,0.745762711864409896,3340,0.89830508474575987
3301,0.899999999999999907,2971,0.96666666666666989,2962,0.933333333333330013,2061.5,0.75,3340,0.899999999999999907
3323,0.901639344262299853,3060,0.967213114754099873,2962,0.934426229508199975,2061.5,0.75409836065573987,3454.5,0.901639344262299853
3323,0.903225806451609875,3084,0.96774193548386988,2992,0.93548387096773999,2156,0.758064516129030026,3454.5,0.903225806451609875
3358,0.904761904761899988,3084,0.968253968253969916,3010,0.936507936507939838,2156,0.76190476190475986,3454.5,0.904761904761899988
3398,0.90625,3111,0.96875,3010,0.9375,2186,0.75,3617,0.90625
3398,0.907692307692310013,3123,0.953846153846150009,3157,0.938461538461540009,2203,0.738461538461539831,3617,0.907692307692310013
3409,0.909090909090909833,3145,0.954545454545449917,3157,0.939393939393939888,2203,0.742424242424239985,3669,0.909090909090909833
3429,0.910447761194030033,3191,0.955223880597009906,3210,0.940298507462689941,2241,0.746268656716419839,3710.5,0.910447761194030033
3469,0.911764705882349919,3191,0.941176470588239941,3237,0.941176470588239941,2241,0.735294117647059982,3740.5,0.911764705882349919
3521,0.913043478260869841,3271,0.94202898550724989,3264,0.94202898550724989,2241,0.739130434782609975,3876.5,0.913043478260869841
3546,0.914285714285709923,3289,0.942857142857139946,3264,0.942857142857139946,2241,0.742857142857139992,3876.5,0.914285714285709923
3546,0.91549295774647987,3294,0.943661971830989985,3330,0.943661971830989985,2353,0.74647887323943984,3941,0.91549295774647987
3703,0.902777777777779895,3311,0.944444444444439975,3392,0.944444444444439975,2353,0.736111111111110046,3941,0.916666666666669845
3703,0.890410958904110035,3311,0.945205479452049907,3392,0.945205479452049907,2441,0.739726027397259896,4101.5,0.91780821917807986
3703,0.891891891891889883,3482,0.932432432432430009,3410,0.945945945945950048,2450,0.743243243243239867,4101.5,0.918918918918919965
3757,0.893333333333329978,3496.5,0.933333333333330013,3410,0.946666666666669872,2472,0.746666666666669916,4101.5,0.919999999999999923
3793,0.894736842105259939,3577.5,0.934210526315790042,3437,0.947368421052629856,2506.5,0.75,4101.5,0.921052631578950005
3821,0.89610389610389984,3577.5,0.935064935064940035,3531,0.948051948051950028,2641,0.753246753246749941,4190,0.922077922077920048
3957,0.897435897435900017,3618,0.935897435897439895,3559,0.948717948717950005,2660,0.756410256410259937,4190,0.923076923076920016
3957,0.898734177215189995,3618,0.93670886075949,3693,0.94936708860759,2677,0.759493670886079992,4246,0.924050632911389998
3962,0.899999999999999907,3618,0.9375,3730,0.94999999999999995,2677,0.762499999999999951,4390.5,0.92500000000000004
3998,0.901234567901229904,3618,0.938271604938269995,3767,0.950617283950619946,2677,0.765432098765429943,4458.5,0.925925925925930035
4021,0.902439024390240036,3659,0.939024390243899937,3767,0.951219512195119904,2790,0.768292682926829947,4458.5,0.92682926829267997
4067,0.903614457831329871,3659,0.939759036144580001,3802,0.951807228915660048,2841,0.771084337349399848,4472.5,0.927710843373489965
4099,0.904761904761899988,3763,0.940476190476190016,3851,0.952380952380949881,2841,0.773809523809519946,4540,0.928571428571429931
4099,0.90588235294117991,3793,0.941176470588239941,3885,0.952941176470589953,2841,0.776470588235290023,4540,0.929411764705879935
4193,0.906976744186049895,3848,0.941860465116279851,3930,0.953488372093019837,2860,0.779069767441859847,4658.5,0.930232558139529871
4253,0.90804597701148992,3885,0.931034482758619882,3967,0.954022988505749841,2880,0.78160919540229989,4658.5,0.931034482758619882
4253,0.909090909090909833,3898,0.931818181818179876,3967,0.954545454545449917,2880,0.784090909090909834,4818.5,0.931818181818179876
4253,0.91011235955056002,3898,0.932584269662919848,3967,0.955056179775279896,2936,0.78651685393257997,4818.5,0.932584269662919848
